type	latitude	longitude	name	desc	kml_folder
T	40.437675831	-86.944454668	Outer Boundary		Outer Boundary
T	40.437509269	-86.944091845			
T	40.437496897	-86.944040217			
T	40.437497252	-86.943995519			
T	40.437511101	-86.943959215			
T	40.437666262	-86.943739797			
T	40.437698183	-86.943724041			
T	40.438065745	-86.943728614			
T	40.438303165	-86.943730415			
T	40.438338169	-86.943748078			
T	40.438373713	-86.943784204			
T	40.438394472	-86.943837057			
T	40.438395916	-86.943895569			
T	40.438377289	-86.943949338			
T	40.438340252	-86.943991350			
T	40.438317199	-86.944001378			
T	40.438277855	-86.944002834			
T	40.438235302	-86.944000682			
T	40.438212736	-86.944008617			
T	40.438184461	-86.944038992			
T	40.438131416	-86.944135522			
T	40.438100650	-86.944166096			
T	40.438070449	-86.944175763			
T	40.438039483	-86.944167435			
T	40.437978838	-86.944100294			
T	40.437940403	-86.944066937			
T	40.437915112	-86.944060004			
T	40.437888170	-86.944077161			
T	40.437865920	-86.944116828			
T	40.437855408	-86.944155235			
T	40.437856727	-86.944199686			
T	40.437878463	-86.944279041			
T	40.437915316	-86.944340893			
T	40.437954318	-86.944374773			
T	40.438016841	-86.944400206			
T	40.438072520	-86.944393764			
T	40.438247859	-86.944339209			
T	40.438298155	-86.944343564			
T	40.438353617	-86.944372525			
T	40.438383263	-86.944423395			
T	40.438400826	-86.944498175			
T	40.438407116	-86.944589955			
T	40.438399014	-86.944660139			
T	40.438371757	-86.944725739			
T	40.438343210	-86.944754816			
T	40.438306861	-86.944771447			
T	40.438272633	-86.944777763			
T	40.438238333	-86.944768353			
T	40.438102787	-86.944695126			
T	40.438073875	-86.944693077			
T	40.438052830	-86.944709336			
T	40.438041096	-86.944733452			
T	40.438005583	-86.944851716			
T	40.437988473	-86.944875444			
T	40.437962176	-86.944885855			
T	40.437926689	-86.944888350			
T	40.437893727	-86.944878780			
T	40.437866174	-86.944856295			
T	40.437843045	-86.944821327			
T	40.437675831	-86.944454668	
